cost,temperature
47923,"[-2, -2]"
47923,"[-2, -2]"
47923,"[-2, -2]"
47842,"[-2, -2]"
47842,"[-2, -2]"
48013,"[-2, -2]"
47959,"[-2, -2]"
48112,"[-2, -2]"
48112,"[-2, -2]"
48112,"[-2, -2]"
48130,"[-2, -2]"
48076,"[-2, -2]"
48337,"[-2, -2]"
48202,"[-2, -2]"
48103,"[-2, -2]"
48103,"[-2, -2]"
48319,"[-2, -2]"
48256,"[-2, -2]"
48256,"[-2, -2]"
48256,"[-2, -2]"
48193,"[-2, -2]"
48193,"[-2, -2]"
48193,"[-2, -2]"
47986,"[-2, -2]"
47986,"[-2, -2]"
47896,"[-2, -2]"
47833,"[-2, -2]"
48040,"[-2, -2]"
48211,"[-2, -2]"
48211,"[-2, -2]"
47995,"[-2, -2]"
47995,"[-2, -2]"
47995,"[-2, -2]"
47995,"[-2, -2]"
47788,"[-2, -2]"
47806,"[-2, -2]"
47752,"[-2, -2]"
47752,"[-2, -2]"
47752,"[-2, -2]"
47752,"[-2, -2]"
47824,"[-2, -2]"
47824,"[-2, -2]"
48148,"[-2, -2]"
48148,"[-2, -2]"
47923,"[-2, -2]"
47860,"[-2, -2]"
47860,"[-2, -2]"
47860,"[-2, -2]"
47860,"[-2, -2]"
47941,"[-2, -2]"
47941,"[-2, -2]"
48031,"[-2, -2]"
48031,"[-2, -2]"
47752,"[-2, -2]"
47752,"[-2, -2]"
47752,"[-2, -2]"
48121,"[-2, -2]"
48121,"[-2, -2]"
48121,"[-2, -2]"
48058,"[-2, -2]"
48058,"[-2, -2]"
48067,"[-2, -2]"
48157,"[-2, -2]"
48157,"[-2, -2]"
48157,"[-2, -2]"
48157,"[-2, -2]"
48130,"[-2, -2]"
48130,"[-2, -2]"
48130,"[-2, -2]"
48004,"[-2, -2]"
48004,"[-2, -2]"
48004,"[-2, -2]"
48211,"[-2, -2]"
47905,"[-2, -2]"
47896,"[-2, -2]"
47824,"[-2, -2]"
47824,"[-2, -2]"
47923,"[-2, -2]"
47923,"[-2, -2]"
47923,"[-2, -2]"
47716,"[-2, -2]"
47725,"[-2, -2]"
47725,"[-2, -2]"
47932,"[-2, -2]"
47932,"[-2, -2]"
47932,"[-2, -2]"
48031,"[-2, -2]"
48238,"[-2, -2]"
48238,"[-2, -2]"
48418,"[-2, -2]"
48238,"[-2, -2]"
48310,"[-2, -2]"
48148,"[-2, -2]"
48193,"[-2, -2]"
48193,"[-2, -2]"
48193,"[-2, -2]"
48193,"[-2, -2]"
48175,"[-2, -2]"
48013,"[-2, -2]"
47941,"[-2, -2]"
47941,"[-2, -2]"
