cost,temperature
48895,[-10]
48706,[-10]
48733,[-10]
48769,[-10]
48769,[-10]
48841,[-10]
48841,[-10]
48832,[-10]
48544,[-10]
49183,[-10]
49183,[-10]
49183,[-10]
49048,[-10]
49219,[-10]
49453,[-10]
49453,[-10]
49444,[-10]
49228,[-10]
48976,[-10]
48976,[-10]
49156,[-10]
49075,[-10]
49075,[-10]
49075,[-10]
49021,[-10]
49255,[-10]
49255,[-10]
49606,[-10]
49876,[-10]
49831,[-10]
49831,[-10]
49453,[-10]
49453,[-10]
49111,[-10]
49111,[-10]
49165,[-10]
49165,[-10]
49165,[-10]
49165,[-10]
49165,[-10]
48832,[-10]
48814,[-10]
48814,[-10]
48814,[-10]
48823,[-10]
48823,[-10]
48823,[-10]
48823,[-10]
48823,[-10]
48823,[-10]
48823,[-10]
